timestamp,elapsed,angx,angy,heading,x,y,z,rcR,rcP,rcY,rcT,rPID,pPID
1433520084.78,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.79,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.81,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.82,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.84,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.84,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.86,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.87,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.89,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.90,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.92,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.94,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.95,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.95,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.97,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.98,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.00,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.02,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.03,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.05,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.06,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.08,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.10,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.10,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.11,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.13,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.14,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.18,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.18,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.19,0.015,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.21,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.22,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.24,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
